Alternativet,Dansk Folkeparti,Det Konservative Folkeparti,Enhedslisten,Kristendemokraterne,Liberal Alliance,Nye Borgerlige,Radikale Venstre,Socialdemokratiet,Socialistisk Folkeparti,Venstre,Borgernes Parti,Danmarksdemokraterne,Frie Grønne,Moderaterne
0.026501466,0.07412805,0.06814308,0.072004914,0.00022573037,0.1182204,0.00022573037,0.049554374,0.20283084,0.1302032,0.112763315,0.021911375,0.06812287,0.00022573037,0.054939054
0.025867151,0.0709002,0.06678443,0.068251476,0.00020969211,0.12535085,0.00020969211,0.052017093,0.1902846,0.13346033,0.11742488,0.024187509,0.06744675,0.00020969211,0.057395596
0.02270293,0.09437208,0.057738543,0.05987033,0.00012740193,0.12893318,0.00012740193,0.05826393,0.19667207,0.13373597,0.09854366,0.021946404,0.06860296,0.00012740193,0.058235727
0.02440364,0.087762795,0.052273754,0.068271816,0.00015538577,0.11316103,0.00015538577,0.060508214,0.21224757,0.13998508,0.09382153,0.019980874,0.07107605,0.00015538577,0.056041557
0.019803926,0.08360525,0.07141023,0.074194975,0.00029856907,0.107658714,0.00029856907,0.044568516,0.19895703,0.14194128,0.1134136,0.023513565,0.06890605,0.00029856907,0.051131114
0.022539096,0.09293418,0.062773846,0.07572852,0.00018974938,0.08811434,0.00018974938,0.048410878,0.19173045,0.16055247,0.098722644,0.03157982,0.07133858,0.00018974938,0.055005968
0.021098034,0.0894277,0.081487395,0.05643483,0.00018930626,0.111302026,0.00018930626,0.045703616,0.20759787,0.1272859,0.10106716,0.024903122,0.06785694,0.00018930626,0.06526743
0.022044446,0.0872943,0.060007755,0.07025767,0.00020243986,0.110254586,0.00020243986,0.04650635,0.18509853,0.15172501,0.09497477,0.029187765,0.07437653,0.00020243986,0.06766499
0.022422243,0.078645915,0.07318758,0.075820476,0.00029138647,0.09786718,0.00029138647,0.06252733,0.18941987,0.15582718,0.097234,0.025663154,0.06878919,0.00029138647,0.051721763
0.02574951,0.08796334,0.06435319,0.076614134,0.0003298472,0.09908423,0.0003298472,0.050365783,0.22108813,0.1288047,0.09903505,0.024285322,0.06881888,0.0003298472,0.05284813
0.02068025,0.08700898,0.06736695,0.066587344,0.0001128177,0.109647885,0.0001128177,0.0444358,0.22143635,0.13735901,0.09613463,0.024775814,0.077287205,0.0001128177,0.04694134
0.022357585,0.08575823,0.06487058,0.07396198,0.00018766559,0.10676878,0.00018766559,0.049604416,0.19891565,0.13273121,0.10745473,0.023229288,0.07562734,0.00018766559,0.058157183
0.02025539,0.09005575,0.068065464,0.067779616,0.00017306407,0.091932096,0.00017306407,0.06138183,0.20964862,0.13257039,0.101176165,0.026890088,0.06947323,0.00017306407,0.060252152
0.025471307,0.087760374,0.071468875,0.060237378,0.00019498664,0.11129621,0.00019498664,0.052679535,0.19961944,0.13197552,0.09781751,0.027416516,0.07558185,0.00019498664,0.058090474
0.022690512,0.07897804,0.0666736,0.07502969,0.00013583698,0.1039669,0.00013583698,0.050041508,0.21646588,0.121205844,0.1003448,0.02115867,0.07812901,0.00013583698,0.06490807
