date,Alternativet,Dansk_Folkeparti,Det_Konservative_Folkeparti,Enhedslisten,Klaus_Riskær_Pedersen,Kristendemokraterne,Liberal_Alliance,Nye_Borgerlige,Radikale_Venstre,Socialdemokratiet,Socialistisk_Folkeparti,Stram_Kurs,Veganerpartiet,Venstre,other
2020-09-18,0.7683868515774644,7.093222150491418,9.171644216707952,7.1071576807063686,,1.6909035080352204,2.227270384893215,6.404502291631762,7.139504642899515,31.64899890457541,7.527414888928909,0.7021450281065742,0.1823118630297594,17.817652194820266,0.3650124158860287
2020-09-19,0.7696690033426806,7.082262146766652,9.200312483517331,7.101612073336074,,1.711991475079627,2.233048863400537,6.418088687693951,7.121470513847738,31.60838348904567,7.538866178848801,0.7008779932905178,0.22722228530288,17.834392471200093,0.3377936416333564
2020-09-20,0.796282753253385,7.047947769197774,9.22380898771793,7.091146116198913,,1.7355298685817433,2.260613630866384,6.416957063439659,7.119451743860548,31.552986406312108,7.563483899607545,0.6987599119830828,0.2487039806146302,17.844722298912515,0.3023229835581125
2020-09-21,0.8080947095004524,7.053407728794158,9.232594648383696,7.068022716210916,,1.7728010604523765,2.2271572211140183,6.437711817822978,7.092285729895544,31.525205935014384,7.532009511833511,0.7025764807426299,0.2634825580231353,17.84809778800217,0.2865210399687024
2020-09-22,0.8278774909907493,7.066851167407179,9.278050355382966,7.032603846645991,,1.7838912430261615,2.214104817670256,6.440686358434948,7.10050290260879,31.485709593507867,7.521808660281721,0.6818439041470021,0.2636372014398025,17.860259864914653,0.2840237863405901
2020-09-23,0.8220520094481963,7.069420006959755,9.2922803871761,7.025686316749722,,1.7790797030640864,2.2068855413075066,6.462009221820187,7.0716349184275735,31.449222573745004,7.520982061847053,0.6991806193794189,0.2687417033640662,17.857491540425706,0.2591275209400466
2020-09-24,0.8273712430559915,7.06612482802233,9.3312749435487,7.024038844179704,,1.7684748629793572,2.2022304225294964,6.482001281106659,7.072793739505385,31.44090782662448,7.538677906874743,0.6855352232588303,0.295875324388666,17.82082938763697,0.2504907283031592
2020-09-25,0.8369079670913188,7.047037466630596,9.365041155026152,7.024610673723922,,1.75549546353746,2.208204731700671,6.503372862660086,7.060593303267645,31.37621680162684,7.53636928234921,0.6682111914952508,0.3036623827579301,17.828886812757435,0.2242899504986724
2020-09-26,0.8164842597295463,7.028190134588385,9.380841137966328,6.9950084481050725,,1.7655464619370502,2.207606242074144,6.526430244684549,7.047350244061096,31.34769990965948,7.538758517389769,0.6553292323989294,0.2948930875336423,17.80855652476786,0.2091209869509706
2020-09-27,0.8519301504831244,7.00860500274953,9.411274363696506,7.01206985402438,,1.775453235182539,2.2107296839911914,6.531156395925419,7.033701002394833,31.33573789927141,7.529433592986508,0.6584698032505379,0.2913842080099417,17.815734944944268,0.2043176421643522
2020-09-28,0.8502626413613642,6.999835033178276,9.433951925875586,7.015409498985759,,1.7603132823974823,2.215070843520874,6.578344648742988,7.014791482856208,31.28560084152808,7.532139895434155,0.6524695902427352,0.3256480690601084,17.830906353661007,0.2070807576074658
2020-09-29,0.8803928699104396,7.0237010547043575,9.457007250379275,7.052083392147588,,1.7489961629037465,2.226048722299503,6.607207978971063,6.987112139249489,31.25995848626373,7.533266017983657,0.6331177905876315,0.3328602824708147,17.81965697898948,0.2254916400279684
2020-09-30,0.886883524816634,7.0324174657613545,9.5113284296518,7.07628537240492,,1.728584507523082,2.2366309736779915,6.616572863161166,6.974374375024151,31.21889767273269,7.563552357070194,0.6096776632074902,0.3569021972317647,17.830619525534935,0.2364103243155987
2020-10-01,0.8759160363912127,7.025345784212342,9.52913286503888,7.071757726864418,,1.740217694178923,2.2249735783048306,6.6363548357627,6.963059590998044,31.185435450090928,7.554418430196393,0.5981503370503511,0.3650415005203338,17.845491891277437,0.2235124417121504
