date,Alternativet,Dansk_Folkeparti,Det_Konservative_Folkeparti,Enhedslisten,Klaus_Riskær_Pedersen,Kristendemokraterne,Liberal_Alliance,Nye_Borgerlige,Radikale_Venstre,Socialdemokratiet,Socialistisk_Folkeparti,Stram_Kurs,Veganerpartiet,Venstre,other
2019-07-10,2.6417585282548397,9.216657252024284,7.620433937853546,7.174209361194292,0.24391332518193906,1.6455105946087634,2.017030029843337,3.5735099197775178,8.490418770115966,25.24664622177181,7.607479873384878,1.6572087692687731,-0.039469112797802096,22.975192111986185,0.05299504910593157
2019-07-11,2.6373623318576813,9.225748691816484,7.622267355013886,7.189766096170225,0.236055864673025,1.6540237922756165,2.0359793047451014,3.563124288161331,8.500988218381226,25.257394067948717,7.6292994868929735,1.6599293918417586,-0.03450342527373195,22.977557008222398,0.05945168603343845
2019-07-12,2.6409844203429973,9.226178152977717,7.602209285845049,7.196045791474699,0.2501043700624729,1.6270270151168724,2.017797328406963,3.5585945062098734,8.478862820042911,25.270445054588336,7.63370951420474,1.6513348042291793,-0.03821733870997064,22.974688749576917,0.052950673367253814
2019-07-13,2.6101498044593527,9.253840246425284,7.599608452649224,7.194044603918525,0.253312523170006,1.6186408739655471,2.034050414920888,3.571933483783207,8.470597207042035,25.302818959026173,7.64076317603789,1.6577732283768127,-0.051705753721623476,22.978891840218175,0.06990863382171937
2019-07-14,2.5727475434689007,9.255557762293915,7.564185372776411,7.20594871587557,0.26750248608861993,1.6125206603094926,2.0386552491228045,3.5353867677811106,8.457093525133336,25.326643490902804,7.638507932498873,1.646863824014656,-0.031047377738311326,22.975047315735754,0.08074628530978643
2019-07-15,2.549682508167527,9.265042598406769,7.556905593886215,7.215597672821325,0.25810021811519435,1.5983778461973372,2.057817670922197,3.5107082912949896,8.462696275474372,25.34298135301957,7.664475100398237,1.6444538786615157,-0.009074155657373658,22.964279046248997,0.08633123342381424
2019-07-16,2.533460020592742,9.286366744152525,7.573183873330386,7.211584263143309,0.2556107745765154,1.584975162438045,2.0524805094135106,3.4863176839103334,8.468464881128487,25.37530530335343,7.675074178637943,1.6420781299244371,0.0015392449167191513,22.925036399714465,0.0927221399255572
2019-07-17,2.5456790278121635,9.276031676680391,7.569711608535085,7.2256157169640165,0.26362091074739014,1.5464603134763746,2.056975410032345,3.4558785598301744,8.470704898895029,25.398304015220084,7.691188490196504,1.64642465212501,0.009464320819727732,22.93808707816079,0.09095355915687761
2019-07-18,2.524851517754199,9.27578403670447,7.56195166721153,7.228545977636669,0.2596140460158902,1.5588136840954627,2.055382291856869,3.424080289341643,8.447312875825842,25.385722465594633,7.699790599823915,1.6293748158136439,-0.015050146887548986,22.934770359037667,0.11897646274848568
2019-07-19,2.5314244940712696,9.28421724575964,7.565687956097284,7.252931469986289,0.26414229488453617,1.5462453108135765,2.069439766801802,3.388762169957601,8.45666931456962,25.413696387297374,7.694534320121927,1.6280638348481644,-0.023426610581456377,22.93080373084199,0.13901489477151457
2019-07-20,2.530252231642395,9.277480675712754,7.552864679650876,7.252686875913667,0.25767182962404545,1.532417674272495,2.093543090071044,3.378887662783655,8.450554636068228,25.453061507957358,7.6962134313233586,1.6257199978659207,-0.03226169663596836,22.91775674736193,0.1224124470289739
2019-07-21,2.5312139350733736,9.302752236960362,7.573256423452281,7.279549542264087,0.23044198988898457,1.526807437864121,2.1129244686242497,3.3745568246177235,8.451915086318948,25.474079889465223,7.674807916663264,1.6261239341396339,-0.07438100697698417,22.89578711245879,0.12441054603658784
2019-07-22,2.5283879058421657,9.308406001412056,7.557190376155358,7.282646615539588,0.22184781456322442,1.5294702268811171,2.1256743481875278,3.3554386900346453,8.461844423709254,25.486243468966567,7.700412988106384,1.6410852711109751,-0.046171410115766504,22.89001509605132,0.13305904631995333
2019-07-23,2.5276770843587855,9.299558061195832,7.549051060636523,7.294105377454578,0.18864379710836615,1.5090067240317353,2.12362924054872,3.3319660088897143,8.431208431863197,25.54077099221292,7.698252551620271,1.634575558036417,-0.06132086654983283,22.86959238990235,0.13937669900691632
2019-07-24,2.5140551073035713,9.296406181459215,7.542343201129064,7.279425897885908,0.18576270633287237,1.4855733932777786,2.1310660639616965,3.3208469808220804,8.4421956000248,25.55546788924992,7.7202164784839065,1.6461969529671463,-0.05100501257374304,22.853061071551068,0.139793338105204
